"Gene","Pathway_Count"
"Igtp",30
"Tgtp1",28
"Gbp2",27
"Iigp1",26
"Tgtp2",25
"Gbp4",24
"Ifi47",23
"Cd74",23
"Ccl19",21
"Cd24a",19
"Adam8",19
"Anxa1",17
"Ifi205",15
"Ifit3",14
"Ccr2",14
"Kcnj8",14
"Cxcl12",14
"Ifitm6",13
"Ifitm1",13
"Lcn2",12
"Cfh",12
"Actb",12
"H2-Aa",10
"Ch25h",9
"H2-Eb1",9
"Adm",8
"Lrg1",8
"H2-Ab1",8
"Tubb6",8
"Serpina3n",7
"Lpl",7
"Ednrb",7
"Il1rn",5
"Plac8",5
"Hmgcs2",5
"AA467197",5
