gene,importance,rank,method
Ramp3,0.4624399812471952,129,Logistic Regression
Thbs1,0.46194250352320093,130,Logistic Regression
Stc1,0.460906790309788,131,Logistic Regression
Dok2,0.4594652747361131,132,Logistic Regression
Mt2,0.45883635373884557,133,Logistic Regression
G0s2,0.45768490268376993,134,Logistic Regression
Plbd1,0.4574542931241925,135,Logistic Regression
Junb,0.4573152711238297,136,Logistic Regression
Tmsb10,0.4571299138000045,137,Logistic Regression
Slc39a1,0.4564666160407717,138,Logistic Regression
Ltb,0.45603952230682643,139,Logistic Regression
Clec10a,0.45601584494075514,140,Logistic Regression
Nov,0.45596901926862576,141,Logistic Regression
Glrx,0.45565734277196257,142,Logistic Regression
Ifit3b,0.45515586278311926,143,Logistic Regression
Cd63,0.45465955257486473,144,Logistic Regression
Cdh13,0.4544905608982509,145,Logistic Regression
Igfbp4,0.45421736693347753,146,Logistic Regression
Cd9,0.4539531790071976,147,Logistic Regression
Clec4n,0.45280626360186715,148,Logistic Regression
Dab2,0.452564452081717,149,Logistic Regression
Id2,0.4521174153339548,150,Logistic Regression
Dusp2,0.45166987014369997,151,Logistic Regression
Ifi203,0.45119843610165383,152,Logistic Regression
Apold1,0.4507384709118745,153,Logistic Regression
Pi16,0.4496080704071624,154,Logistic Regression
Sdc4,0.44891533797808414,155,Logistic Regression
Cstb,0.44881838066932245,156,Logistic Regression
AW112010,0.4488042816292613,157,Logistic Regression
Meg3,0.4483510355547386,158,Logistic Regression
Slc26a10,0.4477061890849565,159,Logistic Regression
Lyve1,0.44760112928680057,160,Logistic Regression
Adamts4,0.4472045951297555,161,Logistic Regression
Glul,0.44711879712402014,162,Logistic Regression
Atf3,0.4470100158523588,163,Logistic Regression
Acer2,0.44660726529834105,164,Logistic Regression
Angptl4,0.4465379119238357,165,Logistic Regression
Adamts1,0.4455837408786984,166,Logistic Regression
Lgals1,0.44454809950326607,167,Logistic Regression
Clec4b1,0.44402882584436554,168,Logistic Regression
Ass1,0.4438156175190127,169,Logistic Regression
Gkn3,0.44327875200092015,170,Logistic Regression
Ifit1,0.4428318707795937,171,Logistic Regression
Btg2,0.44260913586798983,172,Logistic Regression
Sell,0.4424467308645604,173,Logistic Regression
Cfp,0.44224280568151053,174,Logistic Regression
Atp13a5,0.4418937366012603,175,Logistic Regression
Il1r2,0.44177687997403237,176,Logistic Regression
Vwf,0.44161083884965613,177,Logistic Regression
Nr4a1,0.4406230500648524,178,Logistic Regression
Cd36,0.4406006791825492,179,Logistic Regression
Tmem252,0.4387084839090246,180,Logistic Regression
Fcgr4,0.43845329140406386,181,Logistic Regression
Lilrb4a,0.4382412630403673,182,Logistic Regression
Mmp9,0.4379122982187929,183,Logistic Regression
Cxcl16,0.43772312662052937,184,Logistic Regression
Edn3,0.436505759047322,185,Logistic Regression
Apod,0.4362642662048744,186,Logistic Regression
Itgb7,0.43556137889553725,187,Logistic Regression
Psmb8,0.4354436139103628,188,Logistic Regression
Phf11b,0.43517724906226396,189,Logistic Regression
C5ar1,0.4349736280663751,190,Logistic Regression
Fhl1,0.43488379898519836,191,Logistic Regression
Nrp1,0.4344297830094115,192,Logistic Regression
Prdx1,0.43400659351311643,193,Logistic Regression
Cd209a,0.4338617255186168,194,Logistic Regression
Ctla2a,0.4337860254282019,195,Logistic Regression
Ngp,0.43370329986202594,196,Logistic Regression
6330403K07Rik,0.43369678567918546,197,Logistic Regression
Klrd1,0.4334294535055555,198,Logistic Regression
Il1b,0.43294878955118454,199,Logistic Regression
Dcn,0.43167576194114216,200,Logistic Regression
Bmx,0.43136498790561506,201,Logistic Regression
Cited2,0.43126998693899343,202,Logistic Regression
Slc38a5,0.43120414883381236,203,Logistic Regression
Mgl2,0.430867804458294,204,Logistic Regression
Ptn,0.43064080017272155,205,Logistic Regression
Rdh10,0.42980088675612,206,Logistic Regression
Gm9733,0.4291827258106827,207,Logistic Regression
Ms4a6c,0.42831316603521247,208,Logistic Regression
Sirpb1b,0.4279502991716388,209,Logistic Regression
Trem3,0.42761231912561,210,Logistic Regression
Eln,0.4273612883179463,211,Logistic Regression
Gpd1,0.4271501122712811,212,Logistic Regression
Plk2,0.4270928262995077,213,Logistic Regression
Cd79b,0.4268127052800038,214,Logistic Regression
Phf11a,0.4266617859191482,215,Logistic Regression
Olfr558,0.4261658295195376,216,Logistic Regression
Clec4d,0.42613387291626714,217,Logistic Regression
Phf11d,0.42485122859929564,218,Logistic Regression
Tgm2,0.4236768131503828,219,Logistic Regression
Mmp12,0.4235005738965002,220,Logistic Regression
Cyp4f18,0.4234559082690399,221,Logistic Regression
Ms4a6d,0.4232255992724903,222,Logistic Regression
Ftl1,0.4228477971757447,223,Logistic Regression
Zbp1,0.4223024931988005,224,Logistic Regression
Glipr2,0.4216130861440459,225,Logistic Regression
Cxcr2,0.4213555721443674,226,Logistic Regression
Ptgis,0.420852842308834,227,Logistic Regression
Tlr2,0.4207535777270189,228,Logistic Regression
Gm5150,0.42004499296143477,229,Logistic Regression
Myo1g,0.41956680105878547,230,Logistic Regression
Neat1,0.41924141898962225,231,Logistic Regression
Cyr61,0.41915050005018345,232,Logistic Regression
Rnf128,0.4188991074479544,233,Logistic Regression
Meox1,0.4184367263532772,234,Logistic Regression
Gm694,0.41794633700354655,235,Logistic Regression
Fbln2,0.4166860074766553,236,Logistic Regression
Ms4a4b,0.4157636678411843,237,Logistic Regression
Cd244,0.4149910690690913,238,Logistic Regression
Scgb3a1,0.4143074446713566,239,Logistic Regression
Cp,0.4142286500113243,240,Logistic Regression
