,Logistic Regression,Random Forest,XGBoost,CNN+XGBoost,scGPT,scBERT,scFormer,Geneformer
Logistic Regression,1.0,0.21212121212121213,0.2578616352201258,0.6,0.4492753623188406,0.4492753623188406,0.45985401459854014,0.48148148148148145
Random Forest,0.21212121212121213,1.0,0.8348623853211009,0.3157894736842105,0.0989010989010989,0.0989010989010989,0.0989010989010989,0.09289617486338798
XGBoost,0.2578616352201258,0.8348623853211009,1.0,0.3698630136986301,0.12359550561797752,0.12359550561797752,0.12359550561797752,0.12359550561797752
CNN+XGBoost,0.6,0.3157894736842105,0.3698630136986301,1.0,0.41843971631205673,0.41843971631205673,0.41843971631205673,0.47058823529411764
scGPT,0.4492753623188406,0.0989010989010989,0.12359550561797752,0.41843971631205673,1.0,1.0,0.9801980198019802,0.7699115044247787
scBERT,0.4492753623188406,0.0989010989010989,0.12359550561797752,0.41843971631205673,1.0,1.0,0.9801980198019802,0.7699115044247787
scFormer,0.45985401459854014,0.0989010989010989,0.12359550561797752,0.41843971631205673,0.9801980198019802,0.9801980198019802,1.0,0.7699115044247787
Geneformer,0.48148148148148145,0.09289617486338798,0.12359550561797752,0.47058823529411764,0.7699115044247787,0.7699115044247787,0.7699115044247787,1.0
