gene,importance,rank,method
mt-Nd1,0.02539937581519246,140,XGBoost
S100a11,0.025394157087371007,141,XGBoost
Ifit3,0.025296902693621365,142,XGBoost
Igf1,0.025195485897469238,143,XGBoost
Glul,0.02515668165800199,144,XGBoost
Lcn2,0.02512822412987126,145,XGBoost
Folr2,0.025128151149647678,146,XGBoost
Cxcl12,0.025117715935358317,147,XGBoost
Ackr1,0.02509721990810055,148,XGBoost
Ltb,0.025078489098418116,149,XGBoost
Gm5150,0.02506363124830726,150,XGBoost
Mif,0.025056804487348937,151,XGBoost
Crybb1,0.025042706075903635,152,XGBoost
Lrg1,0.02503957642126356,153,XGBoost
Pygl,0.025020735411774308,154,XGBoost
Mxd1,0.024915262947064195,155,XGBoost
Tlr2,0.024884096119865775,156,XGBoost
Tmem119,0.024806521413632248,157,XGBoost
Rnase6,0.024766561226670196,158,XGBoost
Glrx,0.024732455964417144,159,XGBoost
Chil1,0.02468353029475397,160,XGBoost
Clec12a,0.02462485677391919,161,XGBoost
Csf1,0.024542474947987274,162,XGBoost
Il4ra,0.024525082921550888,163,XGBoost
Itm2a,0.024380260782362016,164,XGBoost
Gpx3,0.02432958101207582,165,XGBoost
Ltb4r1,0.024274419731193278,166,XGBoost
Tuba1c,0.02425089940543756,167,XGBoost
Cndp2,0.02421149016540256,168,XGBoost
Mndal,0.024119931887197216,169,XGBoost
Dok2,0.02411866159865522,170,XGBoost
Ifi27l2a,0.02405109772033836,171,XGBoost
Kcnj8,0.023989186516158514,172,XGBoost
Il1f9,0.023973725473840683,173,XGBoost
Atf3,0.02394476981884634,174,XGBoost
Rac2,0.023917899293166057,175,XGBoost
Clec10a,0.023898983009140957,176,XGBoost
Ly6i,0.023889744676606258,177,XGBoost
H2-DMa,0.023867161880992478,178,XGBoost
Cfp,0.02380796602994642,179,XGBoost
AA467197,0.023804152137921336,180,XGBoost
Mgst1,0.023800320491075905,181,XGBoost
Cd52,0.023774095594771526,182,XGBoost
Egr1,0.023741798885475236,183,XGBoost
Itga5,0.02372724797237768,184,XGBoost
Alox5ap,0.023725865058059098,185,XGBoost
