gene,importance,rank,method
Rcan1,0.028350696616178186,140,Random Forest
Ifi27l2a,0.028194005805362066,141,Random Forest
Dbp,0.028133971695694832,142,Random Forest
Glrx,0.02801095698491793,143,Random Forest
Tgm2,0.02793175550517008,144,Random Forest
Rac2,0.02790176143300722,145,Random Forest
Ltc4s,0.02786989386090514,146,Random Forest
Alox5ap,0.027824772427700085,147,Random Forest
Nfkbia,0.02780530493587135,148,Random Forest
Cd9,0.027799271025900452,149,Random Forest
Btg2,0.027712019379290857,150,Random Forest
Plat,0.027707643280167733,151,Random Forest
Clec12a,0.027707517581842728,152,Random Forest
Srgn,0.02768093284689778,153,Random Forest
Hcar2,0.027593943518587356,154,Random Forest
Pirb,0.027517907342612682,155,Random Forest
Emilin2,0.02748053187657624,156,Random Forest
Plek,0.027473194228743534,157,Random Forest
Tnfaip2,0.027441593680102714,158,Random Forest
Lyz2,0.02732568544502795,159,Random Forest
Cd36,0.027322718631771294,160,Random Forest
Slfn4,0.02727408627437119,161,Random Forest
Cndp2,0.02714751606014606,162,Random Forest
Il1f9,0.02708679765218662,163,Random Forest
Tlr2,0.026995087288836955,164,Random Forest
Crip1,0.026926423535008622,165,Random Forest
Sirpb1a,0.02692169156373062,166,Random Forest
P2ry13,0.026900628070584624,167,Random Forest
Rnase6,0.026830967591278544,168,Random Forest
Cxcl2,0.026808231493387107,169,Random Forest
Dok2,0.026803943010809468,170,Random Forest
Cd44,0.026748585838399605,171,Random Forest
Hpgd,0.02669804744952916,172,Random Forest
Csf1,0.026683190064259413,173,Random Forest
Folr2,0.02667619059859503,174,Random Forest
Il4ra,0.026529774697888427,175,Random Forest
Igf1,0.026444501111019963,176,Random Forest
AA467197,0.026379831023192503,177,Random Forest
Itga5,0.026378945196389943,178,Random Forest
Chil1,0.026330217746337304,179,Random Forest
Ltb,0.026197787917823203,180,Random Forest
Ms4a8a,0.026138040148452984,181,Random Forest
Mif,0.026136973086865103,182,Random Forest
AI607873,0.02608583287408306,183,Random Forest
Mndal,0.0259440418023837,184,Random Forest
Gsr,0.025937587251661915,185,Random Forest
Lrg1,0.025931390916871546,186,Random Forest
Susd3,0.025851473851641764,187,Random Forest
Tgfbr1,0.025806120381285304,188,Random Forest
Fkbp1a,0.025781122514666504,189,Random Forest
Vsir,0.025728455668046418,190,Random Forest
Tuba1c,0.02565123900128123,191,Random Forest
H2-Q10,0.025595821568840445,192,Random Forest
Emb,0.0255955335208471,193,Random Forest
Marcksl1,0.025479560289782197,194,Random Forest
Fpr1,0.025454447312359754,195,Random Forest
Atf3,0.025454278843757606,196,Random Forest
Olfml3,0.025449957761861583,197,Random Forest
Fgr,0.025416872273191296,198,Random Forest
Pyhin1,0.02540958299265075,199,Random Forest
Ly6i,0.025344745622517165,200,Random Forest
Rdh12,0.025340451695904286,201,Random Forest
Arg2,0.0253328423909642,202,Random Forest
Cx3cr1,0.02529307240076989,203,Random Forest
Mgst1,0.025113544979757936,204,Random Forest
Thbs1,0.025113385038141856,205,Random Forest
H2-DMa,0.02511124739210238,206,Random Forest
Osm,0.025056279488853715,207,Random Forest
Clec10a,0.02500259886946044,208,Random Forest
mt-Nd1,0.024985463038361393,209,Random Forest
Gpx3,0.02498448323547694,210,Random Forest
Cd163,0.024967545596030306,211,Random Forest
Slc7a11,0.024863938990745623,212,Random Forest
Bcl2a1b,0.024853466616322446,213,Random Forest
Glul,0.024824376637640973,214,Random Forest
Clec4a1,0.024788079876402788,215,Random Forest
Lcn2,0.02474800591680764,216,Random Forest
Fxyd5,0.02471927542342197,217,Random Forest
Ms4a6b,0.024695317822784845,218,Random Forest
Cybb,0.024689303071143018,219,Random Forest
Gpr141,0.02465351303058182,220,Random Forest
Sgk1,0.02462905797633906,221,Random Forest
S100a10,0.024624277097731663,222,Random Forest
Fcrls,0.02459246971218365,223,Random Forest
Egr1,0.024560592604082204,224,Random Forest
Cst3,0.02449203290257972,225,Random Forest
Ptgs1,0.024422177016817533,226,Random Forest
Bcl2a1d,0.024401591846936337,227,Random Forest
Fcgr4,0.024318124634242884,228,Random Forest
Adamts9,0.024155584330099476,229,Random Forest
Itm2a,0.024143667400648758,230,Random Forest
Ecscr,0.024122519314126668,231,Random Forest
Aprt,0.024109605848648238,232,Random Forest
