,Logistic Regression,Random Forest,XGBoost,scGPT,scBERT,scFormer,Geneformer
Logistic Regression,1.0,0.21212121212121213,0.2578616352201258,0.4492753623188406,0.4492753623188406,0.45985401459854014,0.0
Random Forest,0.21212121212121213,1.0,0.8348623853211009,0.0989010989010989,0.0989010989010989,0.0989010989010989,0.06951871657754011
XGBoost,0.2578616352201258,0.8348623853211009,1.0,0.12359550561797752,0.12359550561797752,0.12359550561797752,0.05263157894736842
scGPT,0.4492753623188406,0.0989010989010989,0.12359550561797752,1.0,1.0,0.9801980198019802,0.0
scBERT,0.4492753623188406,0.0989010989010989,0.12359550561797752,1.0,1.0,0.9801980198019802,0.0
scFormer,0.45985401459854014,0.0989010989010989,0.12359550561797752,0.9801980198019802,0.9801980198019802,1.0,0.0
Geneformer,0.0,0.06951871657754011,0.05263157894736842,0.0,0.0,0.0,1.0
