"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051251","positive regulation of lymphocyte activation","11/57","107/2675",0.102803738317757,4.82456140350877,5.95674933856991,9.86996586340506e-06,0.00111900737976355,0.00090193306475458,"Cdkn1a/Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Ccl19",11
"GO:0009615","response to virus","10/57","89/2675",0.112359550561798,5.27301399566332,6.04850949206326,1.1928773219045e-05,0.00127287027172633,0.00102594835921074,"Ifitm6/Lcn2/Igtp/Ifitm1/Ifit3/Gbp2/Tgtp1/Kcnj8/Gbp4/Ccl19",10
"GO:0080134","regulation of response to stress","20/57","347/2675",0.0576368876080692,2.70488902371202,5.02230024528167,1.33800942424595e-05,0.0013420608754379,0.00108171679683354,"Cd24a/Lpl/Adam8/Anxa1/Plat/Ccr2/Ednrb/Actb/Fbln5/Cd74/Igtp/Igfbp6/Angpt2/Gbp2/Kcnj8/Gbp4/Slc7a11/Ifi205/Cxcl12/Cfh",20
"GO:0050870","positive regulation of T cell activation","10/57","91/2675",0.10989010989011,5.15712357817621,5.95251755097724,1.45898047075326e-05,0.0013420608754379,0.00108171679683354,"Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Ccl19",10
"GO:0045582","positive regulation of T cell differentiation","7/57","40/2675",0.175,8.21271929824561,6.78066088426516,1.47967020445193e-05,0.0013420608754379,0.00108171679683354,"H2-Aa/Adam8/Anxa1/Ccr2/Actb/Cd74/Ccl19",7
"GO:0000045","autophagosome assembly","5/57","17/2675",0.294117647058824,13.8028895768834,7.81246851947425,1.87262309243787e-05,0.00161758966175348,0.00130379622826877,"Tgtp2/Iigp1/Igtp/Ifi47/Tgtp1",5
"GO:0007159","leukocyte cell-cell adhesion","13/57","163/2675",0.0797546012269939,3.74286944354752,5.33116874415829,2.31060194128251e-05,0.00190519632794839,0.00153561057246,"Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Lrg1/Ccl19/Cxcl12/Cfh",13
"GO:1905037","autophagosome organization","5/57","18/2675",0.277777777777778,13.0360623781676,7.55889327265137,2.55086375302733e-05,0.00201185515130068,0.00162157883430433,"Tgtp2/Iigp1/Igtp/Ifi47/Tgtp1",5
"GO:2000106","regulation of leukocyte apoptotic process","7/57","44/2675",0.159090909090909,7.46610845295056,6.38031626802522,2.8463984156225e-05,0.00215140280247467,0.00173405587688581,"Cd24a/Adam8/Anxa1/Cd74/Slc7a11/Ccl19/Cxcl12",7
"GO:0045621","positive regulation of lymphocyte differentiation","7/57","45/2675",0.155555555555556,7.30019493177388,6.28804553255292,3.31536231078134e-05,0.00240562689270294,0.00193896347354748,"H2-Aa/Adam8/Anxa1/Ccr2/Actb/Cd74/Ccl19",7
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","10/57","102/2675",0.0980392156862745,4.60096319229446,5.47056500727327,4.03603219997751e-05,0.0027422609212628,0.00221029444648873,"Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Ccl19",10
"GO:0002696","positive regulation of leukocyte activation","11/57","124/2675",0.0887096774193548,4.16312959818902,5.3211549726642,4.08164525215522e-05,0.0027422609212628,0.00221029444648873,"Cdkn1a/Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Ccl19",11
"GO:0050778","positive regulation of immune response","15/57","227/2675",0.066079295154185,3.1010897287271,4.88185785310179,4.67433190740901e-05,0.00302829931429998,0.002440844744132,"Cd24a/Cd72/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Cd74/Igtp/Gbp2/Kcnj8/Ccl19/Ifi205/Cfh",15
"GO:0007033","vacuole organization","6/57","34/2675",0.176470588235294,8.28173374613003,6.30410388392409,6.07516558414961e-05,0.00380012081711979,0.00306294192246236,"Tgtp2/Iigp1/Igtp/Ifi47/Tgtp1/Slc7a11",6
"GO:0034341","response to type II interferon","7/57","51/2675",0.137254901960784,6.44134846921225,5.78819322168334,7.65808004164365e-05,0.0044812119985618,0.00361190939824891,"Ifitm6/Cd74/Igtp/Ifitm1/Gbp2/Tgtp1/Gbp4",7
"GO:0071887","leukocyte apoptotic process","7/57","51/2675",0.137254901960784,6.44134846921225,5.78819322168334,7.65808004164365e-05,0.0044812119985618,0.00361190939824891,"Cd24a/Adam8/Anxa1/Cd74/Slc7a11/Ccl19/Cxcl12",7
"GO:0050867","positive regulation of cell activation","11/57","134/2675",0.082089552238806,3.85244828489133,4.99805641902583,8.42334287624759e-05,0.00477498249297285,0.00384869186023286,"Cdkn1a/Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Ccl19",11
"GO:0045619","regulation of lymphocyte differentiation","8/57","74/2675",0.108108108108108,5.07349454717876,5.24259285470523,0.000130026564169115,0.00714752083038709,0.00576098557036365,"Cd24a/H2-Aa/Adam8/Anxa1/Ccr2/Actb/Cd74/Ccl19",8
"GO:1903037","regulation of leukocyte cell-cell adhesion","11/57","142/2675",0.0774647887323944,3.63540894489745,4.76110655407067,0.000143262145867938,0.00764345684130705,0.00616071580837666,"Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Ccl19/Cxcl12",11
"GO:0022409","positive regulation of cell-cell adhesion","10/57","119/2675",0.0840336134453782,3.9436827362524,4.84637889819191,0.000152369612072397,0.00789709932283793,0.0063651546216108,"Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Ccl19",10
"GO:0045580","regulation of T cell differentiation","7/57","59/2675",0.11864406779661,5.56794528694618,5.23433287146239,0.000197646027064501,0.00995916369708347,0.00802720267814597,"H2-Aa/Adam8/Anxa1/Ccr2/Actb/Cd74/Ccl19",7
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","4/57","15/2675",0.266666666666667,12.5146198830409,6.59762648793922,0.000212486361071356,0.01041757456712,0.0083966872127486,"H2-Eb1/H2-Aa/H2-Ab1/Cd74",4
