gene,importance,rank,method
Tubb6,0.02233025699741012,139,Geneformer
Adamts4,0.02227788855650448,140,Geneformer
Irgm1,0.0222750536495415,141,Geneformer
Rsad2,0.02227196659619597,142,Geneformer
Fxyd5,0.0221877340643381,143,Geneformer
Cdc42ep3,0.022175956674294166,144,Geneformer
Hapln2,0.022163904428045934,145,Geneformer
Cnn1,0.02213934410339114,146,Geneformer
Cd209a,0.02212877344199229,147,Geneformer
Ifit3b,0.022121010886811537,148,Geneformer
Mndal,0.022111881563963934,149,Geneformer
Abhd2,0.02210827576151076,150,Geneformer
Mt1,0.022082032744213775,151,Geneformer
Tm4sf1,0.02205524257824196,152,Geneformer
Cd9,0.022044085692077026,153,Geneformer
Myo1g,0.022040862353787643,154,Geneformer
Igfbp2,0.022034078055856783,155,Geneformer
Mgl2,0.0219441114107313,156,Geneformer
Ltb,0.02193953872022299,157,Geneformer
Phf11b,0.021920258452698543,158,Geneformer
Aldh1a1,0.021907825866072844,159,Geneformer
Nfkbia,0.02190280036367032,160,Geneformer
Gngt2,0.02189743206625787,161,Geneformer
AW112010,0.021895225421974623,162,Geneformer
Glul,0.02184793168758031,163,Geneformer
Plvap,0.02183791917640662,164,Geneformer
Clec4n,0.021837119289961834,165,Geneformer
Hcar2,0.021823869335009034,166,Geneformer
Pla1a,0.021805308235738317,167,Geneformer
Tmem176a,0.021796651168046927,168,Geneformer
Itih3,0.021776434899215533,169,Geneformer
Fgfbp1,0.021733857651724652,170,Geneformer
Chil3,0.02170844238239821,171,Geneformer
Eno3,0.021708200939644713,172,Geneformer
Dusp2,0.02169363291463986,173,Geneformer
Clec4b1,0.021687856314902804,174,Geneformer
Cxcl10,0.02164690444010955,175,Geneformer
Traf1,0.021608481257737865,176,Geneformer
F10,0.021596104368227478,177,Geneformer
S100a6,0.021579320790320673,178,Geneformer
Clec12a,0.021567929026437487,179,Geneformer
Ttyh2,0.021545389845814958,180,Geneformer
Cytip,0.021543936306595964,181,Geneformer
Tnf,0.021521691209112688,182,Geneformer
Fcgr4,0.021512234882248415,183,Geneformer
Igfbp4,0.02149568984572749,184,Geneformer
Cxcl16,0.02147096890116427,185,Geneformer
